Segment,Country, Product , Discount Band , Units Sold , Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales after discounts , Profit ,Date,Month Number, Month Name ,Year
Channel Partners,France, Paseo , High ," $2,425.50 ", $10.00 , $12.00 ," $29,106.00 "," $3,201.66 "," $25,904.34 "," $1,649.34 ",7/1/2014,7, July ,2014
Channel Partners,France, VTT , High ," $1,734.00 ", $250.00 , $12.00 ," $20,808.00 "," $2,288.88 "," $18,519.12 "," $(414,980.88)",1/1/2014,1, January ,2014
Channel Partners,France, Paseo , High ," $1,393.00 ", $10.00 , $12.00 ," $16,716.00 "," $2,340.24 "," $14,375.76 ", $445.76 ,10/1/2014,10, October ,2014
Channel Partners,France, Amarilla , High ," $1,393.00 ", $260.00 , $12.00 ," $16,716.00 "," $2,340.24 "," $14,375.76 "," $(347,804.24)",10/1/2014,10, October ,2014
Channel Partners,France, Amarilla , High ," $2,475.00 ", $260.00 , $12.00 ," $29,700.00 "," $4,158.00 "," $25,542.00 "," $(617,958.00)",8/1/2014,8, August ,2014
Enterprise,France, Velo , None ," $1,804.00 ", $120.00 , $125.00 ," $225,500.00 ", $-   ," $225,500.00 "," $9,020.00 ",2/1/2014,2, February ,2014
Enterprise,France, Paseo , Low , $787.00 , $10.00 , $125.00 ," $98,375.00 ", $983.75 ," $97,391.25 "," $89,521.25 ",6/1/2014,6, June ,2014
Enterprise,France, VTT , Low , $787.00 , $250.00 , $125.00 ," $98,375.00 ", $983.75 ," $97,391.25 "," $(99,358.75)",6/1/2014,6, June ,2014
Enterprise,France, VTT , Low ," $1,744.00 ", $250.00 , $125.00 ," $218,000.00 "," $2,180.00 "," $215,820.00 "," $(220,180.00)",11/1/2014,11, November ,2014
Enterprise,France, Carretera , Low ," $4,243.50 ", $3.00 , $125.00 ," $530,437.50 "," $15,913.13 "," $514,524.38 "," $501,793.88 ",4/1/2014,4, April ,2014
Midmarket,Mexico, Montana , None ," $2,470.00 ", $5.00 , $15.00 ," $37,050.00 ", $-   ," $37,050.00 "," $24,700.00 ",6/1/2014,6, June ,2014
Enterprise,France, Paseo , Low ," $1,287.00 ", $10.00 , $125.00 ," $160,875.00 "," $4,826.25 "," $156,048.75 "," $143,178.75 ",12/1/2014,12, December ,2014
Enterprise,France, Paseo , Low ," $2,988.00 ", $10.00 , $125.00 ," $373,500.00 "," $14,940.00 "," $358,560.00 "," $328,680.00 ",7/1/2014,7, July ,2014
Enterprise,France, Paseo , Medium ," $2,385.00 ", $10.00 , $125.00 ," $298,125.00 "," $14,906.25 "," $283,218.75 "," $259,368.75 ",3/1/2014,3, March ,2014
Enterprise,France, Paseo , Medium , $704.00 , $10.00 , $125.00 ," $88,000.00 "," $4,400.00 "," $83,600.00 "," $76,560.00 ",10/1/2013,10, October ,2013
Enterprise,France, Velo , Medium , $704.00 , $120.00 , $125.00 ," $88,000.00 "," $4,400.00 "," $83,600.00 ", $(880.00),10/1/2013,10, October ,2013
Enterprise,France, Amarilla , Medium ," $1,987.50 ", $260.00 , $125.00 ," $248,437.50 "," $14,906.25 "," $233,531.25 "," $(283,218.75)",1/1/2014,1, January ,2014
Midmarket,Mexico, Montana , Low ," $2,214.00 ", $5.00 , $15.00 ," $33,210.00 ", $332.10 ," $32,877.90 "," $21,807.90 ",3/1/2014,3, March ,2014
Enterprise,France, Carretera , High ," $1,482.00 ", $3.00 , $125.00 ," $185,250.00 "," $18,525.00 "," $166,725.00 "," $162,279.00 ",12/1/2013,12, December ,2013
Enterprise,France, Carretera , High ," $2,441.00 ", $3.00 , $125.00 ," $305,125.00 "," $33,563.75 "," $271,561.25 "," $264,238.25 ",10/1/2014,10, October ,2014
Enterprise,France, Paseo , High ," $2,441.00 ", $10.00 , $125.00 ," $305,125.00 "," $33,563.75 "," $271,561.25 "," $247,151.25 ",10/1/2014,10, October ,2014
Enterprise,France, Amarilla , High ," $1,433.00 ", $260.00 , $125.00 ," $179,125.00 "," $19,703.75 "," $159,421.25 "," $(213,158.75)",5/1/2014,5, May ,2014
Enterprise,France, Carretera , High ," $1,023.00 ", $3.00 , $125.00 ," $127,875.00 "," $17,902.50 "," $109,972.50 "," $106,903.50 ",9/1/2013,9, September ,2013
Enterprise,France, Carretera , High ," $1,174.00 ", $3.00 , $125.00 ," $146,750.00 "," $22,012.50 "," $124,737.50 "," $121,215.50 ",8/1/2014,8, August ,2014
Enterprise,France, Velo , High , $663.00 , $120.00 , $125.00 ," $82,875.00 "," $12,431.25 "," $70,443.75 "," $(9,116.25)",9/1/2014,9, September ,2014
Midmarket,Mexico, Montana , Low ," $2,031.00 ", $5.00 , $15.00 ," $30,465.00 "," $1,218.60 "," $29,246.40 "," $19,091.40 ",10/1/2014,10, October ,2014
Government,France, VTT , None ," $1,527.00 ", $250.00 , $350.00 ," $534,450.00 ", $-   ," $534,450.00 "," $152,700.00 ",9/1/2013,9, September ,2013
Government,France, Amarilla , None ," $2,750.00 ", $260.00 , $350.00 ," $962,500.00 ", $-   ," $962,500.00 "," $247,500.00 ",2/1/2014,2, February ,2014
Government,France, Amarilla , None ," $1,899.00 ", $260.00 , $20.00 ," $37,980.00 ", $-   ," $37,980.00 "," $(455,760.00)",6/1/2014,6, June ,2014
Government,France, Paseo , Low ," $3,945.00 ", $10.00 , $7.00 ," $27,615.00 ", $276.15 ," $27,338.85 "," $(12,111.15)",1/1/2014,1, January ,2014
Government,France, Paseo , Low ," $1,030.00 ", $10.00 , $7.00 ," $7,210.00 ", $72.10 ," $7,137.90 "," $(3,162.10)",5/1/2014,5, May ,2014
Government,France, Velo , Low , $639.00 , $120.00 , $7.00 ," $4,473.00 ", $44.73 ," $4,428.27 "," $(72,251.73)",11/1/2014,11, November ,2014
Government,France, Carretera , Low ," $2,155.00 ", $3.00 , $350.00 ," $754,250.00 "," $7,542.50 "," $746,707.50 "," $740,242.50 ",12/1/2014,12, December ,2014
Midmarket,Mexico, Montana , High ," $2,157.00 ", $5.00 , $15.00 ," $32,355.00 "," $3,559.05 "," $28,795.95 "," $18,010.95 ",12/1/2014,12, December ,2014
Government,France, Paseo , Low ," $2,155.00 ", $10.00 , $350.00 ," $754,250.00 "," $7,542.50 "," $746,707.50 "," $725,157.50 ",12/1/2014,12, December ,2014
Government,France, Velo , Low ," $3,864.00 ", $120.00 , $20.00 ," $77,280.00 ", $772.80 ," $76,507.20 "," $(387,172.80)",4/1/2014,4, April ,2014
Government,France, Carretera , Low ," $2,145.00 ", $3.00 , $7.00 ," $15,015.00 ", $300.30 ," $14,714.70 "," $8,279.70 ",11/1/2013,11, November ,2013
Government,France, Amarilla , Low , $941.00 , $260.00 , $20.00 ," $18,820.00 ", $376.40 ," $18,443.60 "," $(226,216.40)",11/1/2014,11, November ,2014
Government,Mexico, Montana , Medium , $720.00 , $5.00 , $350.00 ," $252,000.00 "," $12,600.00 "," $239,400.00 "," $235,800.00 ",9/1/2013,9, September ,2013
Government,France, Velo , Low ," $2,177.00 ", $120.00 , $350.00 ," $761,950.00 "," $30,478.00 "," $731,472.00 "," $470,232.00 ",10/1/2014,10, October ,2014
Government,France, VTT , Low ," $2,177.00 ", $250.00 , $350.00 ," $761,950.00 "," $30,478.00 "," $731,472.00 "," $187,222.00 ",10/1/2014,10, October ,2014
Government,France, Carretera , Medium ," $1,563.00 ", $3.00 , $20.00 ," $31,260.00 "," $1,563.00 "," $29,697.00 "," $25,008.00 ",5/1/2014,5, May ,2014
Government,France, Carretera , Medium ," $2,487.00 ", $3.00 , $7.00 ," $17,409.00 ", $870.45 ," $16,538.55 "," $9,077.55 ",12/1/2014,12, December ,2014
Government,Mexico, Montana , Medium , $980.00 , $5.00 , $350.00 ," $343,000.00 "," $20,580.00 "," $322,420.00 "," $317,520.00 ",4/1/2014,4, April ,2014
Government,France, Paseo , Medium ," $1,303.00 ", $10.00 , $20.00 ," $26,060.00 "," $1,303.00 "," $24,757.00 "," $11,727.00 ",2/1/2014,2, February ,2014
Government,France, Paseo , Medium ," $2,136.00 ", $10.00 , $7.00 ," $14,952.00 ", $747.60 ," $14,204.40 "," $(7,155.60)",12/1/2013,12, December ,2013
Government,France, Velo , Medium ," $1,579.00 ", $120.00 , $20.00 ," $31,580.00 "," $1,579.00 "," $30,001.00 "," $(159,479.00)",8/1/2014,8, August ,2014
Government,France, Velo , Medium ," $1,033.00 ", $120.00 , $20.00 ," $20,660.00 "," $1,033.00 "," $19,627.00 "," $(104,333.00)",12/1/2013,12, December ,2013
Government,France, VTT , Medium ," $2,487.00 ", $250.00 , $7.00 ," $17,409.00 ", $870.45 ," $16,538.55 "," $(605,211.45)",12/1/2014,12, December ,2014
Government,Mexico, Montana , High ," $2,420.00 ", $5.00 , $7.00 ," $16,940.00 "," $2,032.80 "," $14,907.20 "," $2,807.20 ",9/1/2014,9, September ,2014
Government,France, Paseo , Medium ," $1,496.00 ", $10.00 , $350.00 ," $523,600.00 "," $31,416.00 "," $492,184.00 "," $477,224.00 ",6/1/2014,6, June ,2014
Government,France, Velo , Medium ," $1,496.00 ", $120.00 , $350.00 ," $523,600.00 "," $31,416.00 "," $492,184.00 "," $312,664.00 ",6/1/2014,6, June ,2014
Government,France, Velo , Medium ," $2,076.00 ", $120.00 , $350.00 ," $726,600.00 "," $43,596.00 "," $683,004.00 "," $433,884.00 ",10/1/2013,10, October ,2013
Government,France, Amarilla , Medium ," $1,403.00 ", $260.00 , $7.00 ," $9,821.00 ", $589.26 ," $9,231.74 "," $(355,548.26)",10/1/2013,10, October ,2013
Government,France, Amarilla , Medium ," $2,076.00 ", $260.00 , $350.00 ," $726,600.00 "," $43,596.00 "," $683,004.00 "," $143,244.00 ",10/1/2013,10, October ,2013
Government,Mexico, Montana , High ," $1,715.00 ", $5.00 , $20.00 ," $34,300.00 "," $4,116.00 "," $30,184.00 "," $21,609.00 ",10/1/2013,10, October ,2013
Government,France, Paseo , Medium ," $1,757.00 ", $10.00 , $20.00 ," $35,140.00 "," $2,108.40 "," $33,031.60 "," $15,461.60 ",10/1/2013,10, October ,2013
Government,France, Paseo , Medium ," $1,031.00 ", $10.00 , $7.00 ," $7,217.00 ", $505.19 ," $6,711.81 "," $(3,598.19)",9/1/2013,9, September ,2013
Government,Mexico, Montana , High ," $2,255.00 ", $5.00 , $20.00 ," $45,100.00 "," $5,863.00 "," $39,237.00 "," $27,962.00 ",7/1/2014,7, July ,2014
Government,France, Paseo , Medium ," $1,535.00 ", $10.00 , $20.00 ," $30,700.00 "," $2,149.00 "," $28,551.00 "," $13,201.00 ",9/1/2014,9, September ,2014
Government,France, Velo , Medium ," $1,976.00 ", $120.00 , $20.00 ," $39,520.00 "," $2,766.40 "," $36,753.60 "," $(200,366.40)",10/1/2014,10, October ,2014
Government,France, Amarilla , Medium ," $2,876.00 ", $260.00 , $350.00 ," $1,006,600.00 "," $70,462.00 "," $936,138.00 "," $188,378.00 ",9/1/2014,9, September ,2014
Government,France, VTT , Medium , $574.50 , $250.00 , $350.00 ," $201,075.00 "," $16,086.00 "," $184,989.00 "," $41,364.00 ",4/1/2014,4, April ,2014
Government,France, VTT , Medium , $381.00 , $250.00 , $350.00 ," $133,350.00 "," $10,668.00 "," $122,682.00 "," $27,432.00 ",8/1/2014,8, August ,2014
Government,Mexico, Montana , High ," $1,727.00 ", $5.00 , $7.00 ," $12,089.00 "," $1,692.46 "," $10,396.54 "," $1,761.54 ",10/1/2013,10, October ,2013
Government,France, VTT , Medium ," $2,682.00 ", $250.00 , $20.00 ," $53,640.00 "," $4,827.60 "," $48,812.40 "," $(621,687.60)",11/1/2013,11, November ,2013
Government,France, Paseo , High ," $1,954.00 ", $10.00 , $20.00 ," $39,080.00 "," $3,908.00 "," $35,172.00 "," $15,632.00 ",3/1/2014,3, March ,2014
Government,France, Velo , High , $639.00 , $120.00 , $350.00 ," $223,650.00 "," $22,365.00 "," $201,285.00 "," $124,605.00 ",7/1/2014,7, July ,2014
Government,France, Paseo , High ," $2,532.00 ", $10.00 , $7.00 ," $17,724.00 "," $1,949.64 "," $15,774.36 "," $(9,545.64)",4/1/2014,4, April ,2014
Government,France, Velo , High ," $2,805.00 ", $120.00 , $20.00 ," $56,100.00 "," $6,171.00 "," $49,929.00 "," $(286,671.00)",9/1/2013,9, September ,2013
Government,France, Paseo , High ," $1,594.00 ", $10.00 , $350.00 ," $557,900.00 "," $66,948.00 "," $490,952.00 "," $475,012.00 ",11/1/2014,11, November ,2014
Government,France, Amarilla , High ," $3,421.50 ", $260.00 , $7.00 ," $23,950.50 "," $2,874.06 "," $21,076.44 "," $(868,513.56)",7/1/2014,7, July ,2014
Government,France, Carretera , High ," $2,521.50 ", $3.00 , $20.00 ," $50,430.00 "," $6,051.60 "," $44,378.40 "," $36,813.90 ",1/1/2014,1, January ,2014
Government,France, VTT , High ," $1,491.00 ", $250.00 , $7.00 ," $10,437.00 "," $1,252.44 "," $9,184.56 "," $(363,565.44)",3/1/2014,3, March ,2014
Government,France, Carretera , High ," $1,790.00 ", $3.00 , $350.00 ," $626,500.00 "," $81,445.00 "," $545,055.00 "," $539,685.00 ",3/1/2014,3, March ,2014
Government,France, Paseo , High ," $2,696.00 ", $10.00 , $7.00 ," $18,872.00 "," $2,453.36 "," $16,418.64 "," $(10,541.36)",8/1/2014,8, August ,2014
Government,France, Velo , High ," $1,190.00 ", $120.00 , $7.00 ," $8,330.00 "," $1,082.90 "," $7,247.10 "," $(135,552.90)",6/1/2014,6, June ,2014
Government,France, Amarilla , High ," $1,190.00 ", $260.00 , $7.00 ," $8,330.00 "," $1,082.90 "," $7,247.10 "," $(302,152.90)",6/1/2014,6, June ,2014
Government,Mexico, Montana , High ," $1,368.00 ", $5.00 , $7.00 ," $9,576.00 "," $1,436.40 "," $8,139.60 "," $1,299.60 ",2/1/2014,2, February ,2014
Government,France, Paseo , High ," $1,731.00 ", $10.00 , $7.00 ," $12,117.00 "," $1,696.38 "," $10,420.62 "," $(6,889.38)",10/1/2014,10, October ,2014
Government,France, Paseo , High ," $1,922.00 ", $10.00 , $350.00 ," $672,700.00 "," $94,178.00 "," $578,522.00 "," $559,302.00 ",11/1/2013,11, November ,2013
Government,France, VTT , High ," $1,281.00 ", $250.00 , $350.00 ," $448,350.00 "," $62,769.00 "," $385,581.00 "," $65,331.00 ",12/1/2013,12, December ,2013
Government,France, Amarilla , High ," $1,731.00 ", $260.00 , $7.00 ," $12,117.00 "," $1,696.38 "," $10,420.62 "," $(439,639.38)",10/1/2014,10, October ,2014
Government,France, Paseo , High , $293.00 , $10.00 , $20.00 ," $5,860.00 ", $879.00 ," $4,981.00 "," $2,051.00 ",12/1/2014,12, December ,2014
Government,France, VTT , High , $293.00 , $250.00 , $20.00 ," $5,860.00 ", $879.00 ," $4,981.00 "," $(68,269.00)",12/1/2014,12, December ,2014
Midmarket,France, Carretera , None ," $2,178.00 ", $3.00 , $15.00 ," $32,670.00 ", $-   ," $32,670.00 "," $26,136.00 ",6/1/2014,6, June ,2014
Midmarket,France, Paseo , None , $549.00 , $10.00 , $15.00 ," $8,235.00 ", $-   ," $8,235.00 "," $2,745.00 ",9/1/2013,9, September ,2013
Midmarket,France, VTT , None ," $2,178.00 ", $250.00 , $15.00 ," $32,670.00 ", $-   ," $32,670.00 "," $(511,830.00)",6/1/2014,6, June ,2014
Midmarket,France, Paseo , Low ," $2,296.00 ", $10.00 , $15.00 ," $34,440.00 ", $344.40 ," $34,095.60 "," $11,135.60 ",2/1/2014,2, February ,2014
Midmarket,France, Amarilla , Low , $321.00 , $260.00 , $15.00 ," $4,815.00 ", $48.15 ," $4,766.85 "," $(78,693.15)",11/1/2013,11, November ,2013
Midmarket,France, Paseo , Low ," $2,261.00 ", $10.00 , $15.00 ," $33,915.00 "," $1,356.60 "," $32,558.40 "," $9,948.40 ",12/1/2013,12, December ,2013
Midmarket,France, Paseo , Medium ," $2,620.00 ", $10.00 , $15.00 ," $39,300.00 "," $1,965.00 "," $37,335.00 "," $11,135.00 ",9/1/2014,9, September ,2014
Midmarket,France, Paseo , Medium ," $3,801.00 ", $10.00 , $15.00 ," $57,015.00 "," $3,420.90 "," $53,594.10 "," $15,584.10 ",4/1/2014,4, April ,2014
Midmarket,France, Paseo , Medium ," $2,101.00 ", $10.00 , $15.00 ," $31,515.00 "," $2,206.05 "," $29,308.95 "," $8,298.95 ",8/1/2014,8, August ,2014
Midmarket,France, Carretera , Medium , $490.00 , $3.00 , $15.00 ," $7,350.00 ", $588.00 ," $6,762.00 "," $5,292.00 ",11/1/2014,11, November ,2014
Enterprise,Mexico, Montana , Low ," $1,660.00 ", $5.00 , $125.00 ," $207,500.00 "," $4,150.00 "," $203,350.00 "," $195,050.00 ",11/1/2013,11, November ,2013
Midmarket,France, Paseo , Medium ," $1,227.00 ", $10.00 , $15.00 ," $18,405.00 "," $1,656.45 "," $16,748.55 "," $4,478.55 ",10/1/2014,10, October ,2014
Midmarket,France, VTT , Medium ," $1,227.00 ", $250.00 , $15.00 ," $18,405.00 "," $1,656.45 "," $16,748.55 "," $(290,001.45)",10/1/2014,10, October ,2014
Enterprise,Mexico, Montana , Low ," $1,138.00 ", $5.00 , $125.00 ," $142,250.00 "," $5,690.00 "," $136,560.00 "," $130,870.00 ",12/1/2014,12, December ,2014
Midmarket,France, Paseo , High ," $2,167.00 ", $10.00 , $15.00 ," $32,505.00 "," $3,250.50 "," $29,254.50 "," $7,584.50 ",10/1/2013,10, October ,2013
Midmarket,France, VTT , High ," $2,167.00 ", $250.00 , $15.00 ," $32,505.00 "," $3,250.50 "," $29,254.50 "," $(512,495.50)",10/1/2013,10, October ,2013
Midmarket,France, Amarilla , High ," $2,072.00 ", $260.00 , $15.00 ," $31,080.00 "," $3,108.00 "," $27,972.00 "," $(510,748.00)",12/1/2014,12, December ,2014
Midmarket,France, VTT , High ," $3,874.50 ", $250.00 , $15.00 ," $58,117.50 "," $6,974.10 "," $51,143.40 "," $(917,481.60)",7/1/2014,7, July ,2014
Midmarket,France, Velo , High ," $3,997.50 ", $120.00 , $15.00 ," $59,962.50 "," $7,795.13 "," $52,167.38 "," $(427,532.63)",1/1/2014,1, January ,2014
Midmarket,France, Velo , High ," $2,826.00 ", $120.00 , $15.00 ," $42,390.00 "," $6,358.50 "," $36,031.50 "," $(303,088.50)",5/1/2014,5, May ,2014
Small Business,France, VTT , None ," $2,151.00 ", $250.00 , $300.00 ," $645,300.00 ", $-   ," $645,300.00 "," $107,550.00 ",9/1/2014,9, September ,2014
Small Business,France, Paseo , Low , $918.00 , $10.00 , $300.00 ," $275,400.00 "," $5,508.00 "," $269,892.00 "," $260,712.00 ",5/1/2014,5, May ,2014
Small Business,France, Paseo , Low ," $2,434.50 ", $10.00 , $300.00 ," $730,350.00 "," $21,910.50 "," $708,439.50 "," $684,094.50 ",1/1/2014,1, January ,2014
Small Business,France, Velo , Medium ," $1,221.00 ", $120.00 , $300.00 ," $366,300.00 "," $21,978.00 "," $344,322.00 "," $197,802.00 ",10/1/2013,10, October ,2013
Small Business,France, VTT , Medium ," $1,221.00 ", $250.00 , $300.00 ," $366,300.00 "," $21,978.00 "," $344,322.00 "," $39,072.00 ",10/1/2013,10, October ,2013
Small Business,France, Carretera , Medium , $448.00 , $3.00 , $300.00 ," $134,400.00 "," $9,408.00 "," $124,992.00 "," $123,648.00 ",6/1/2014,6, June ,2014
Small Business,France, Carretera , Medium ," $2,181.00 ", $3.00 , $300.00 ," $654,300.00 "," $45,801.00 "," $608,499.00 "," $601,956.00 ",10/1/2014,10, October ,2014
Channel Partners,Mexico, Montana , Low , $690.00 , $5.00 , $12.00 ," $8,280.00 ", $165.60 ," $8,114.40 "," $4,664.40 ",11/1/2014,11, November ,2014
Small Business,France, Paseo , Medium , $448.00 , $10.00 , $300.00 ," $134,400.00 "," $9,408.00 "," $124,992.00 "," $120,512.00 ",6/1/2014,6, June ,2014
Small Business,France, Velo , Medium ," $1,659.00 ", $120.00 , $300.00 ," $497,700.00 "," $34,839.00 "," $462,861.00 "," $263,781.00 ",7/1/2014,7, July ,2014
Small Business,France, VTT , Medium , $959.00 , $250.00 , $300.00 ," $287,700.00 "," $20,139.00 "," $267,561.00 "," $27,811.00 ",2/1/2014,2, February ,2014
Channel Partners,Mexico, Montana , Medium ," $2,340.00 ", $5.00 , $12.00 ," $28,080.00 "," $1,965.60 "," $26,114.40 "," $14,414.40 ",1/1/2014,1, January ,2014
Small Business,France, Velo , Medium , $386.00 , $120.00 , $300.00 ," $115,800.00 "," $9,264.00 "," $106,536.00 "," $60,216.00 ",11/1/2013,11, November ,2013
Channel Partners,Mexico, Montana , High ," $2,661.00 ", $5.00 , $12.00 ," $31,932.00 "," $3,831.84 "," $28,100.16 "," $14,795.16 ",5/1/2014,5, May ,2014
Small Business,France, Paseo , Medium ," $1,324.00 ", $10.00 , $300.00 ," $397,200.00 "," $35,748.00 "," $361,452.00 "," $348,212.00 ",11/1/2014,11, November ,2014
Small Business,France, Velo , High , $853.00 , $120.00 , $300.00 ," $255,900.00 "," $25,590.00 "," $230,310.00 "," $127,950.00 ",12/1/2014,12, December ,2014
Small Business,France, Amarilla , High , $853.00 , $260.00 , $300.00 ," $255,900.00 "," $25,590.00 "," $230,310.00 "," $8,530.00 ",12/1/2014,12, December ,2014
Channel Partners,Mexico, Montana , High , $604.00 , $5.00 , $12.00 ," $7,248.00 ", $942.24 ," $6,305.76 "," $3,285.76 ",6/1/2014,6, June ,2014
Small Business,Germany, Montana , Low ," $1,859.00 ", $5.00 , $300.00 ," $557,700.00 "," $22,308.00 "," $535,392.00 "," $526,097.00 ",8/1/2014,8, August ,2014
Small Business,France, Amarilla , High ," $2,475.00 ", $260.00 , $300.00 ," $742,500.00 "," $111,375.00 "," $631,125.00 "," $(12,375.00)",3/1/2014,3, March ,2014
Small Business,Germany, Montana , Low ," $2,021.00 ", $5.00 , $300.00 ," $606,300.00 "," $24,252.00 "," $582,048.00 "," $571,943.00 ",10/1/2014,10, October ,2014
Channel Partners,Germany, Paseo , None , $367.00 , $10.00 , $12.00 ," $4,404.00 ", $-   ," $4,404.00 ", $734.00 ,7/1/2014,7, July ,2014
Channel Partners,Germany, Velo , None ," $2,161.00 ", $120.00 , $12.00 ," $25,932.00 ", $-   ," $25,932.00 "," $(233,388.00)",3/1/2014,3, March ,2014
Channel Partners,Germany, Velo , None ," $1,545.00 ", $120.00 , $12.00 ," $18,540.00 ", $-   ," $18,540.00 "," $(166,860.00)",6/1/2014,6, June ,2014
Channel Partners,Germany, VTT , None ," $2,838.00 ", $250.00 , $12.00 ," $34,056.00 ", $-   ," $34,056.00 "," $(675,444.00)",4/1/2014,4, April ,2014
Channel Partners,Germany, Carretera , Low , $766.00 , $3.00 , $12.00 ," $9,192.00 ", $91.92 ," $9,100.08 "," $6,802.08 ",10/1/2013,10, October ,2013
Channel Partners,Germany, Paseo , Low , $766.00 , $10.00 , $12.00 ," $9,192.00 ", $91.92 ," $9,100.08 "," $1,440.08 ",10/1/2013,10, October ,2013
Channel Partners,Germany, VTT , Low ," $2,479.00 ", $250.00 , $12.00 ," $29,748.00 ", $892.44 ," $28,855.56 "," $(590,894.44)",1/1/2014,1, January ,2014
Channel Partners,Germany, Carretera , Medium ," $1,116.00 ", $3.00 , $12.00 ," $13,392.00 ", $669.60 ," $12,722.40 "," $9,374.40 ",2/1/2014,2, February ,2014
Small Business,Germany, Montana , Medium , $334.00 , $5.00 , $300.00 ," $100,200.00 "," $9,018.00 "," $91,182.00 "," $89,512.00 ",12/1/2013,12, December ,2013
Channel Partners,Germany, VTT , Medium ," $2,215.00 ", $250.00 , $12.00 ," $26,580.00 "," $1,860.60 "," $24,719.40 "," $(529,030.60)",9/1/2013,9, September ,2013
Channel Partners,Germany, Paseo , Medium ," $1,775.00 ", $10.00 , $12.00 ," $21,300.00 "," $1,917.00 "," $19,383.00 "," $1,633.00 ",11/1/2013,11, November ,2013
Channel Partners,Germany, VTT , Medium , $880.00 , $250.00 , $12.00 ," $10,560.00 ", $950.40 ," $9,609.60 "," $(210,390.40)",5/1/2014,5, May ,2014
Channel Partners,Germany, Carretera , Medium ," $1,580.00 ", $3.00 , $12.00 ," $18,960.00 "," $1,706.40 "," $17,253.60 "," $12,513.60 ",9/1/2014,9, September ,2014
Channel Partners,Germany, Amarilla , High ," $2,574.00 ", $260.00 , $12.00 ," $30,888.00 "," $3,088.80 "," $27,799.20 "," $(641,440.80)",8/1/2014,8, August ,2014
Channel Partners,Germany, Velo , High , $472.00 , $120.00 , $12.00 ," $5,664.00 ", $623.04 ," $5,040.96 "," $(51,599.04)",10/1/2014,10, October ,2014
Channel Partners,Germany, Amarilla , High , $472.00 , $260.00 , $12.00 ," $5,664.00 ", $623.04 ," $5,040.96 "," $(117,679.04)",10/1/2014,10, October ,2014
Channel Partners,Germany, Paseo , High ," $1,013.00 ", $10.00 , $12.00 ," $12,156.00 "," $1,580.28 "," $10,575.72 ", $445.72 ,12/1/2014,12, December ,2014
Channel Partners,Germany, Velo , High ," $1,013.00 ", $120.00 , $12.00 ," $12,156.00 "," $1,580.28 "," $10,575.72 "," $(110,984.28)",12/1/2014,12, December ,2014
Channel Partners,Germany, Amarilla , High ," $1,770.00 ", $260.00 , $12.00 ," $21,240.00 "," $2,761.20 "," $18,478.80 "," $(441,721.20)",12/1/2013,12, December ,2013
Enterprise,Germany, Amarilla , None ," $4,219.50 ", $260.00 , $125.00 ," $527,437.50 ", $-   ," $527,437.50 "," $(569,632.50)",4/1/2014,4, April ,2014
Enterprise,Germany, Paseo , Low , $809.00 , $10.00 , $125.00 ," $101,125.00 "," $2,022.50 "," $99,102.50 "," $91,012.50 ",10/1/2013,10, October ,2013
Enterprise,Germany, Velo , Low , $809.00 , $120.00 , $125.00 ," $101,125.00 "," $2,022.50 "," $99,102.50 "," $2,022.50 ",10/1/2013,10, October ,2013
Enterprise,Germany, Amarilla , Low ," $2,276.00 ", $260.00 , $125.00 ," $284,500.00 "," $5,690.00 "," $278,810.00 "," $(312,950.00)",5/1/2014,5, May ,2014
Midmarket,Germany, Montana , None , $921.00 , $5.00 , $15.00 ," $13,815.00 ", $-   ," $13,815.00 "," $9,210.00 ",3/1/2014,3, March ,2014
Enterprise,Germany, Paseo , Low ," $1,570.00 ", $10.00 , $125.00 ," $196,250.00 "," $5,887.50 "," $190,362.50 "," $174,662.50 ",6/1/2014,6, June ,2014
Enterprise,Germany, Paseo , Low ," $1,706.00 ", $10.00 , $125.00 ," $213,250.00 "," $6,397.50 "," $206,852.50 "," $189,792.50 ",12/1/2014,12, December ,2014
Enterprise,Germany, VTT , Low ," $1,570.00 ", $250.00 , $125.00 ," $196,250.00 "," $5,887.50 "," $190,362.50 "," $(202,137.50)",6/1/2014,6, June ,2014
Enterprise,Germany, Paseo , Low , $795.00 , $10.00 , $125.00 ," $99,375.00 "," $3,975.00 "," $95,400.00 "," $87,450.00 ",3/1/2014,3, March ,2014
Enterprise,Germany, Velo , Medium , $807.00 , $120.00 , $125.00 ," $100,875.00 "," $5,043.75 "," $95,831.25 "," $(1,008.75)",2/1/2014,2, February ,2014
Enterprise,Germany, Carretera , Medium , $887.00 , $3.00 , $125.00 ," $110,875.00 "," $6,652.50 "," $104,222.50 "," $101,561.50 ",12/1/2013,12, December ,2013
Midmarket,Germany, Montana , Medium , $711.00 , $5.00 , $15.00 ," $10,665.00 ", $853.20 ," $9,811.80 "," $6,256.80 ",12/1/2014,12, December ,2014
Enterprise,Germany, Paseo , Medium ," $3,513.00 ", $10.00 , $125.00 ," $439,125.00 "," $30,738.75 "," $408,386.25 "," $373,256.25 ",7/1/2014,7, July ,2014
Enterprise,Germany, Velo , Medium ," $2,087.00 ", $120.00 , $125.00 ," $260,875.00 "," $18,261.25 "," $242,613.75 "," $(7,826.25)",9/1/2014,9, September ,2014
